amount,description,category,type,date,id,createdAt,updatedAt
5,for foods,Food & Dining,expense,9/12/2025,mfgfm3xxjrzc0uk4epq,2025-09-12T06:03:49.749Z,2025-09-12T06:03:49.749Z
20,uber riding,Other,income,9/12/2025,mfgfktmq9349m49hqle,2025-09-12T06:02:49.730Z,2025-09-12T06:02:49.730Z
15,coffee,Food & Dining,expense,9/11/2025,mfgfabc1234567890abc,2025-09-11T08:10:00.000Z,2025-09-11T08:10:00.000Z
100,salary,Salary,income,9/10/2025,mfgfsalary0012345678,2025-09-10T09:00:00.000Z,2025-09-10T09:00:00.000Z
30,book,Education,expense,9/09/2025,mfgfbook0987654321abc,2025-09-09T10:00:00.000Z,2025-09-09T10:00:00.000Z
50,freelance,Other,income,9/08/2025,mfgffree1234567890def,2025-09-08T11:00:00.000Z,2025-09-08T11:00:00.000Z
10,cinema,Entertainment,expense,9/07/2025,mfgfcine0987654321def,2025-09-07T12:00:00.000Z,2025-09-07T12:00:00.000Z
25,restaurant,Food & Dining,expense,9/06/2025,mfgfrest1234567890ghi,2025-09-06T13:00:00.000Z,2025-09-06T13:00:00.000Z
200,bonus,Salary,income,9/05/2025,mfgfbonus0987654321ghi,2025-09-05T14:00:00.000Z,2025-09-05T14:00:00.000Z
8,parking,Transport,expense,9/04/2025,mfgfpark1234567890jkl,2025-09-04T15:00:00.000Z,2025-09-04T15:00:00.000Z
12,subscription,Entertainment,expense,9/03/2025,mfgfsub0987654321jkl,2025-09-03T16:00:00.000Z,2025-09-03T16:00:00.000Z
60,interest,Other,income,9/02/2025,mfgfint1234567890mno,2025-09-02T17:00:00.000Z,2025-09-02T17:00:00.000Z
18,medicine,Health,expense,9/01/2025,mfgfmed0987654321mno,2025-09-01T18:00:00.000Z,2025-09-01T18:00:00.000Z
22,lottery,Other,income,8/31/2025,mfgflott1234567890pqr,2025-08-31T19:00:00.000Z,2025-08-31T19:00:00.000Z
40,groceries,Food & Dining,expense,8/30/2025,mfgfgroc0987654321pqr,2025-08-30T20:00:00.000Z,2025-08-30T20:00:00.000Z
35,course,Education,expense,8/29/2025,mfgfcour1234567890stu,2025-08-29T21:00:00.000Z,2025-08-29T21:00:00.000Z
70,dividend,Investment,income,8/28/2025,mfgfdivi0987654321stu,2025-08-28T22:00:00.000Z,2025-08-28T22:00:00.000Z
14,snacks,Food & Dining,expense,8/27/2025,mfgfsnac1234567890vwx,2025-08-27T23:00:00.000Z,2025-08-27T23:00:00.000Z
45,taxi,Transport,expense,8/26/2025,mfgftaxi0987654321vwx,2025-08-26T00:00:00.000Z,2025-08-26T00:00:00.000Z
55,gift,Other,income,8/25/2025,mfgfgift1234567890yz1,2025-08-25T01:00:00.000Z,2025-08-25T01:00:00.000Z
